date,entry_time,exit_time,direction,pattern,entry_price,stop_loss,target,exit_price,box_high,box_low,atr,outcome,pnl
2025-11-03,2025-11-03 09:55:00,2025-11-03 10:00:00,LONG,hammer,254.39,253.92,260.78,253.92,260.78,256.5,11.02,LOSS,-0.47
2025-11-04,2025-11-04 10:00:00,2025-11-04 10:15:00,SHORT,bearish_engulfing,255.46,256.05,247.39,256.05,253.33,247.39,10.88,LOSS,-0.59
2025-11-05,2025-11-05 10:15:00,2025-11-05 11:00:00,SHORT,bearish_engulfing,250.93,252.38,242.8,252.38,249.78,242.8,10.24,LOSS,-1.45
2025-11-06,2025-11-06 10:15:00,2025-11-06 10:30:00,LONG,bullish_engulfing,242.61,241.02,253.51,241.02,253.51,248.77,10.8,LOSS,-1.59
2025-11-10,2025-11-10 10:25:00,2025-11-10 10:30:00,SHORT,inverted_hammer,247.08,248.0,240.55,248.0,244.98,240.55,11.97,LOSS,-0.92
2025-11-12,2025-11-12 09:55:00,2025-11-12 10:10:00,LONG,bullish_engulfing,251.72,250.2,258.67,258.67,258.67,252.74,12.38,WIN,6.95
2025-11-14,2025-11-14 10:05:00,2025-11-14 10:45:00,SHORT,bearish_engulfing,246.84,248.9,235.1,248.9,241.78,235.1,13.37,LOSS,-2.06
2025-11-17,2025-11-17 10:00:00,2025-11-17 13:10:00,SHORT,bearish_engulfing,245.63,248.54,241.3,241.3,247.99,241.3,13.92,WIN,4.33
2025-11-18,2025-11-18 10:15:00,2025-11-18 15:55:00,LONG,hammer,227.12,225.57,238.0,230.23,238.0,230.73,14.21,WIN,3.11
2025-11-20,2025-11-20 10:20:00,2025-11-20 10:45:00,LONG,hammer,228.54,227.54,234.25,227.54,234.25,229.88,14.9,LOSS,-1.0
2025-11-21,2025-11-21 10:20:00,2025-11-21 10:25:00,LONG,hammer,199.7,197.8,208.83,197.8,208.83,202.05,16.4,LOSS,-1.9
2025-11-25,2025-11-25 10:25:00,2025-11-25 15:25:00,LONG,bullish_engulfing,196.7,195.02,203.3,203.3,203.3,197.07,16.96,WIN,6.6
2025-12-09,2025-12-09 10:10:00,2025-12-09 10:20:00,SHORT,inverted_hammer,222.11,222.66,217.91,222.66,221.11,217.91,11.9,LOSS,-0.55
2025-12-11,2025-12-11 10:35:00,2025-12-11 10:40:00,LONG,hammer,213.69,213.24,217.81,213.24,217.81,213.34,10.44,LOSS,-0.45
2025-12-16,2025-12-16 10:25:00,2025-12-16 13:45:00,LONG,hammer,206.47,205.11,209.1,209.1,209.1,205.8,8.77,WIN,2.63
2025-12-17,2025-12-17 09:55:00,2025-12-17 10:10:00,LONG,bullish_engulfing,208.02,206.5,211.5,206.5,211.5,206.53,7.65,LOSS,-1.52
2025-12-18,2025-12-18 10:20:00,2025-12-18 10:25:00,LONG,bullish_engulfing,204.89,203.24,206.13,206.13,206.13,203.72,7.97,WIN,1.24
2025-12-19,2025-12-19 10:45:00,2025-12-19 11:00:00,SHORT,bearish_engulfing,209.58,210.65,204.2,210.65,209.46,204.2,8.26,LOSS,-1.07
2025-12-26,2025-12-26 10:40:00,2025-12-26 15:55:00,SHORT,bearish_engulfing,215.73,216.83,213.46,214.9,216.43,213.46,8.1,WIN,0.83
2025-12-31,2025-12-31 09:55:00,2025-12-31 15:10:00,SHORT,bearish_engulfing,215.66,217.64,214.53,214.53,216.91,214.53,7.59,WIN,1.13
2026-01-05,2026-01-05 10:30:00,2026-01-05 10:35:00,LONG,bullish_engulfing,225.82,224.56,234.02,224.56,234.02,227.71,7.7,LOSS,-1.26
2026-01-06,2026-01-06 11:00:00,2026-01-06 12:25:00,LONG,hammer,212.02,211.62,222.92,211.62,222.92,216.53,7.71,LOSS,-0.4
2026-01-08,2026-01-08 10:00:00,2026-01-08 10:50:00,LONG,hammer,205.9,205.05,210.17,205.05,210.17,206.85,8.06,LOSS,-0.85
